pol_id,name,nickname,suffix,party
40102,Sheldon Whitehouse,,,Dem
40715,Dennis M. Daugaard,,,Rep
41229,Rick Weiland,,,Dem
41288,Stephen Ira Cohen,Steve,,Dem
41404,Gregory Wayne Abbott,Greg,,Rep
41484,Brian Babin,,,Rep
41650,Frank Briscoe,,,Dem
42151,Pete P. Gallego,,,Dem
42252,Mark Greene,,,Dem
42752,Kenny Marchant,,,Rep
43436,Steven Ernest Stockman,Steve,,Rep
44298,Gary Richard Herbert,,,Rep
45461,Peter Elliott Shumlin,,,Dem
45543,Donald Sternoff Beyer,Don,Jr.,Dem
45695,Robert Hurt,,,Rep
46291,Cathy Anne McMorris Rodgers,,,Rep
47053,Glen B. Gainer,,I,Dem
47450,Joseph Manchin,Joe,I,Dem
47518,David B. McKinley,,,Rep
48730,Gwendolynne Sophia Moore,Gwen,,Dem
48976,Scott Walker,,,Rep
49396,Cynthia Lummis,,,Rep
49989,Jeff Fortenberry,,,Rep
50000,Joseph Simon Donnelly,Joe,,Dem
50040,Emanuel Cleaver,,I,Dem
50077,Robert Scott,Bob,,Dem
50215,Dave George Reichert,,,Rep
50403,Jerry McNerney,,,Dem
50418,Charles William Boustany,,Jr.,Rep
50436,Kevin Craig,,,Oth
50681,Daniel Lipinski,Dan,,Dem
50844,Jeff Gorell,,,Rep
50853,Karen Bass,,,Dem
50902,Scott Peters,,,Dem
51087,Jennifer Garrison,,,Dem
51178,Michael G. Fitzpatrick,,,Rep
51416,Doris Okada Matsui,,,Dem
51423,Timothy Michael Kaine,Tim,,Dem
51431,Bruce L Braley,,,Dem
51516,Deval Laurdine Patrick,,,Dem
51522,John Allan Yarmuth,,,Dem
51523,Kenneth Stepp,,,Dem
51526,Amy Jean Klobuchar,,,Dem
51531,Timothy James Walz,Tim,,Dem
51537,Dave Loebsack,,,Dem
51566,John Peter Ricketts,Pete,,Rep
51603,John P. Sarbanes,,,Dem
51610,Robb Cunningham,,,Oth
51614,Jacob Turk,,,Rep
51631,Ladda Tammy Duckworth,,,Dem
51753,Scott Randall Tipton,,,Rep
51865,Robert Phillips Corker,Bob,Jr.,Rep
51916,Kirsten Elizabeth Gillibrand,,,Dem
51919,Daniel Benjamin Maffei,Dan,,Dem
52147,Christopher Murphy,Chris,,Dem
52332,Abel J. Tapia,,,Dem
52398,Andrew Romanoff,,,Dem
52450,Judy May Chu,,,Dem
52455,Alan Lowenthal,,,Dem
52462,Gloria Negrete McLeod,,,Dem
52471,John Bayard Taylor Campbell,,I,Rep
52480,Juan C. Vargas,,,Dem
52489,Jacqueline K. Speier,Jackie,,Dem
52493,Jeff Denham,,,Rep
52499,Thomas Miller McClintock,Tom,I,Rep
52531,Douglas L LaMalfa,,,Rep
52561,Kevin Owen McCarthy,,,Rep
52566,Tony Strickland,,,Rep
52813,Bradley Byrne,,,Rep
52867,Robert Julian Bentley,,,Rep
52889,Eddie Zamora,,,Rep
52935,John Barrasso,,,Rep
52981,Gus Michael Bilirakis,,,Rep
52996,Dennis Alan Ross,,,Rep
53016,Carl J. Domino,,,Rep
53044,Marco Rubio,,,Rep
53062,Daniel A. Webster,,,Rep
53077,William J. Posey,Bill,,Rep
53086,Frederica Wilson,,,Dem
53104,John Thomas Graves,Tom,Jr.,Rep
53213,Vernon Gale Buchanan,Vern,,Rep
53354,Brian Emanuel Schatz,,,Dem
53363,K. Mark Takai,,,Dem
53396,David Ige,,,Dem
53401,Colleen Hanabusa,,,Dem
53433,Pat Murphy,,,Dem
53537,Jack Hatch,,,Dem
53539,Carol Shea-Porter,,,Dem
53566,Shirley G. Ringo,,,Dem
53697,Robin Kelly,,,Dem
53754,Randall M. Hultgren,Randy,,Rep
53825,Peter J. Roskam,,,Rep
53887,Marlin Andrew Stutzman,,,Rep
53892,Allen Lucas Messer,Luke,,Rep
54005,Kevin Wayne Yoder,,,Rep
54031,Paul Davis,,,Dem
54149,Timothy Alan Huelskamp,Tim,,Rep
54282,Steven Brett Guthrie,,,Rep
54369,Stephen Joseph Scalise,Steve,,Rep
54388,Cedric Levon Richmond,,,Dem
54608,Richard R. Tisei,,,Rep
54705,Anthony Brown,,,Dem
55092,William Huizenga,Bill,,Rep
55100,John Moolenaar,,,Rep
55131,Mark Schauer,,,Dem
55172,Torrey Westrom,,,Rep
55233,Erik Paulsen,,,Rep
55265,Keith Maurice Ellison,,,Dem
55336,Michele Marie Bachmann,,,Rep
55466,Blaine Luetkemeyer,,,Rep
55675,"Patrick ""Alan"" Nunnelee",,,Rep
55866,Jon Tester,,,Dem
55929,Alma Adams,,,Dem
56017,Kay Hagan,,,Dem
56030,Robert Miller Pittenger,,,Rep
56705,Albio Sires,,,Dem
56743,Leonard Lance,,,Rep
56805,Ben Ray Lujan,,Jr.,Dem
56930,Mark Eugene Amodei,,,Rep
57037,Paul David Tonko,,,Dem
57148,Robert Edward Latta,Bob,,Rep
57169,Joyce Beatty,,,Dem
57239,Robert Brian Gibbs,Bob,,Rep
57253,Jim Daniel Jordan,,,Rep
57257,Steve Stivers,,,Rep
57340,Joe Dorman,,,Dem
57426,Dennis Richardson,,,Rep
57440,Tootie Smith,,,Rep
57469,Jeff Merkley,,,Dem
57501,Kurt Schrader,,,Dem
57798,Robert J. Wittman,Rob,,Rep
57813,Donna Edwards,,,Dem
57814,Travis Wayne Childers,,,Dem
57825,Gregg Harper,,,Rep
57849,Andre D. Carson,,,Dem
57891,Jeffrey Darren Duncan,Jeff,,Rep
58008,Pete Olson,,,Rep
58026,Vincent J. Sheheen,,,Dem
58039,Charles Bradley Hutto,Brad,,Dem
58195,Diane Lynn Black,,,Rep
58283,Glenn Thompson,GT,,Rep
58367,William G. Foster,Bill,,Dem
58407,Joaquin Castro,,,Dem
58574,Howard Morgan Griffith,,,Rep
58597,Jim Bryan,,,Dem
58641,Joe Garcia,,,Dem
58831,Andrew P. Harris,Andy,,Rep
58883,Peter F. Welch,,,Dem
58914,Daniel Newhouse,Dan,,Rep
58933,Joyce McDonald,,,Rep
59040,Gerald E. Connolly,Gerry,,Dem
59087,Glenn Grothman,,,Rep
59107,Mark Pocan,,,Dem
59163,Tom Rooney,,,Rep
59268,Evan H. Jenkins,,,Rep
59273,Earl Ray Tomblin,,,Dem
59339,Danny K. Davis,,,Dem
59346,Jason E. Chaffetz,,,Rep
59383,Catherine Ping,,,Rep
59388,Steven Laird,,,Oth
59400,Henry C. Johnson,Hank,Jr.,Dem
59448,Parker Griffith,,,Dem
59450,Frankie Robbins,,,Dem
59492,Martin Trevor Heinrich,,,Dem
59501,Mark Begich,,,Dem
